clase,bbox,profundidad_promedio
car,"[609.9225463867188, 277.37432861328125, 838.9757690429688, 568.1557006835938]",0.7865365743637085
truck,"[956.3623046875, 171.08694458007812, 1227.53564453125, 548.797607421875]",0.7003656625747681
motorcycle,"[738.2008056640625, 44.13871383666992, 827.7701416015625, 123.15159606933594]",0.19244055449962616
person,"[381.2599182128906, 2.3082618713378906, 504.1221618652344, 137.12322998046875]",0.18127454817295074
desconocido,"[729.6375732421875, 98.35385131835938, 864.7675170898438, 254.78768920898438]",0.34835201501846313
desconocido,"[589.3573608398438, 5.028110980987549, 722.0468139648438, 118.96583557128906]",0.14730902016162872
desconocido,"[382.9930419921875, 281.4908447265625, 442.311279296875, 377.75262451171875]",0.556485652923584
desconocido,"[7.816265106201172, 405.24755859375, 118.08077239990234, 544.1749267578125]",0.8432421088218689
desconocido,"[8.89145565032959, 507.71221923828125, 68.4797134399414, 641.2587890625]",0.9321109056472778
desconocido,"[387.5213928222656, 328.8966369628906, 430.8704528808594, 425.80908203125]",0.5984908938407898
desconocido,"[185.066650390625, 140.25234985351562, 225.8208770751953, 228.48431396484375]",0.29573190212249756
desconocido,"[7.9923787117004395, 432.4334716796875, 114.67526245117188, 576.5245361328125]",0.8459436297416687
desconocido,"[184.12960815429688, 133.2751007080078, 224.4893341064453, 201.42413330078125]",0.28582146763801575
